name_of_city,state_name,Value
Datia ,MADHYA PRADESH,"Datia , MADHYA PRADESH"
Davanagere ,KARNATAKA,"Davanagere , KARNATAKA"
Deesa ,GUJARAT,"Deesa , GUJARAT"
Dehradun ,UTTARAKHAND,"Dehradun , UTTARAKHAND"
Dehri ,BIHAR,"Dehri , BIHAR"
Delhi ,NCT OF DELHI,"Delhi , NCT OF DELHI"
Delhi Cantonment ,NCT OF DELHI,"Delhi Cantonment , NCT OF DELHI"
Deoghar ,JHARKHAND,"Deoghar , JHARKHAND"
Deoli ,NCT OF DELHI,"Deoli , NCT OF DELHI"
Deoria ,UTTAR PRADESH,"Deoria , UTTAR PRADESH"
Dewas ,MADHYA PRADESH,"Dewas , MADHYA PRADESH"
Dhanbad ,JHARKHAND,"Dhanbad , JHARKHAND"
Dharmavaram ,ANDHRA PRADESH,"Dharmavaram , ANDHRA PRADESH"
Dhaulpur ,RAJASTHAN,"Dhaulpur , RAJASTHAN"
Dhule ,MAHARASHTRA,"Dhule , MAHARASHTRA"
Dibrugarh ,ASSAM,"Dibrugarh , ASSAM"
Dimapur ,NAGALAND,"Dimapur , NAGALAND"
Dinapur Nizamat ,BIHAR,"Dinapur Nizamat , BIHAR"
Dindigul ,TAMIL NADU,"Dindigul , TAMIL NADU"
Dum Dum ,WEST BENGAL,"Dum Dum , WEST BENGAL"
Durg ,CHHATTISGARH,"Durg , CHHATTISGARH"
Durgapur ,WEST BENGAL,"Durgapur , WEST BENGAL"
Eluru ,ANDHRA PRADESH,"Eluru , ANDHRA PRADESH"
English Bazar ,WEST BENGAL,"English Bazar , WEST BENGAL"
Erode ,TAMIL NADU,"Erode , TAMIL NADU"
Etah ,UTTAR PRADESH,"Etah , UTTAR PRADESH"
Etawah ,UTTAR PRADESH,"Etawah , UTTAR PRADESH"
Faizabad ,UTTAR PRADESH,"Faizabad , UTTAR PRADESH"
Faridabad ,HARYANA,"Faridabad , HARYANA"
Farrukhabad-cum-Fatehgarh ,UTTAR PRADESH,"Farrukhabad-cum-Fatehgarh , UTTAR PRADESH"
Fatehpur ,UTTAR PRADESH,"Fatehpur , UTTAR PRADESH"
Firozabad ,UTTAR PRADESH,"Firozabad , UTTAR PRADESH"
Firozpur ,PUNJAB,"Firozpur , PUNJAB"
Gadag-Betigeri ,KARNATAKA,"Gadag-Betigeri , KARNATAKA"
Gandhidham ,GUJARAT,"Gandhidham , GUJARAT"
Gandhinagar ,GUJARAT,"Gandhinagar , GUJARAT"
Ganganagar ,RAJASTHAN,"Ganganagar , RAJASTHAN"
Gangapur City ,RAJASTHAN,"Gangapur City , RAJASTHAN"
Gangawati ,KARNATAKA,"Gangawati , KARNATAKA"
Gaya ,BIHAR,"Gaya , BIHAR"
Ghazipur ,UTTAR PRADESH,"Ghazipur , UTTAR PRADESH"
Giridih ,JHARKHAND,"Giridih , JHARKHAND"
Godhra ,GUJARAT,"Godhra , GUJARAT"
Gokal Pur ,NCT OF DELHI,"Gokal Pur , NCT OF DELHI"
Gonda ,UTTAR PRADESH,"Gonda , UTTAR PRADESH"
Gondal ,GUJARAT,"Gondal , GUJARAT"
Gondiya ,MAHARASHTRA,"Gondiya , MAHARASHTRA"
Gorakhpur ,UTTAR PRADESH,"Gorakhpur , UTTAR PRADESH"
Greater Hyderabad ,ANDHRA PRADESH,"Greater Hyderabad , ANDHRA PRADESH"
Greater Mumbai ,MAHARASHTRA,"Greater Mumbai , MAHARASHTRA"
Greater Noida ,UTTAR PRADESH,"Greater Noida , UTTAR PRADESH"
Gudivada ,ANDHRA PRADESH,"Gudivada , ANDHRA PRADESH"
Gulbarga ,KARNATAKA,"Gulbarga , KARNATAKA"
Guna ,MADHYA PRADESH,"Guna , MADHYA PRADESH"
Guntakal ,ANDHRA PRADESH,"Guntakal , ANDHRA PRADESH"
Guntur ,ANDHRA PRADESH,"Guntur , ANDHRA PRADESH"
Gurgaon ,HARYANA,"Gurgaon , HARYANA"
Guwahati ,ASSAM,"Guwahati , ASSAM"
Gwalior ,MADHYA PRADESH,"Gwalior , MADHYA PRADESH"
Habra ,WEST BENGAL,"Habra , WEST BENGAL"
Hajipur ,BIHAR,"Hajipur , BIHAR"
Haldia ,WEST BENGAL,"Haldia , WEST BENGAL"
Haldwani-cum-Kathgodam ,UTTARAKHAND,"Haldwani-cum-Kathgodam , UTTARAKHAND"
Halisahar ,WEST BENGAL,"Halisahar , WEST BENGAL"
Hanumangarh ,RAJASTHAN,"Hanumangarh , RAJASTHAN"
Haora ,WEST BENGAL,"Haora , WEST BENGAL"
Hapur ,UTTAR PRADESH,"Hapur , UTTAR PRADESH"
Hardoi ,UTTAR PRADESH,"Hardoi , UTTAR PRADESH"
Hardwar ,UTTARAKHAND,"Hardwar , UTTARAKHAND"
Hassan ,KARNATAKA,"Hassan , KARNATAKA"
Hastsal ,NCT OF DELHI,"Hastsal , NCT OF DELHI"
Hathras ,UTTAR PRADESH,"Hathras , UTTAR PRADESH"
Hazaribag ,JHARKHAND,"Hazaribag , JHARKHAND"
Hindaun ,RAJASTHAN,"Hindaun , RAJASTHAN"
Hindupur ,ANDHRA PRADESH,"Hindupur , ANDHRA PRADESH"
Hinganghat ,MAHARASHTRA,"Hinganghat , MAHARASHTRA"
Hisar ,HARYANA,"Hisar , HARYANA"
Hoshangabad ,MADHYA PRADESH,"Hoshangabad , MADHYA PRADESH"
Hoshiarpur ,PUNJAB,"Hoshiarpur , PUNJAB"
Hospet ,KARNATAKA,"Hospet , KARNATAKA"
Hosur ,TAMIL NADU,"Hosur , TAMIL NADU"
Hubli-Dharwad ,KARNATAKA,"Hubli-Dharwad , KARNATAKA"
Hugli-Chinsurah ,WEST BENGAL,"Hugli-Chinsurah , WEST BENGAL"
Ichalkaranji ,MAHARASHTRA,"Ichalkaranji , MAHARASHTRA"
Imphal ,MANIPUR ,"Imphal , MANIPUR "
Indore ,MADHYA PRADESH,"Indore , MADHYA PRADESH"
Jabalpur ,MADHYA PRADESH,"Jabalpur , MADHYA PRADESH"
Jagadhri ,HARYANA,"Jagadhri , HARYANA"
Jagdalpur ,CHHATTISGARH,"Jagdalpur , CHHATTISGARH"
Jaipur ,RAJASTHAN,"Jaipur , RAJASTHAN"
Jalandhar ,PUNJAB,"Jalandhar , PUNJAB"
Jalgaon ,MAHARASHTRA,"Jalgaon , MAHARASHTRA"
Jalna ,MAHARASHTRA,"Jalna , MAHARASHTRA"
Jalpaiguri ,WEST BENGAL,"Jalpaiguri , WEST BENGAL"
Jamalpur ,BIHAR,"Jamalpur , BIHAR"
Jammu ,JAMMU & KASHMIR,"Jammu , JAMMU & KASHMIR"
Jamnagar ,GUJARAT,"Jamnagar , GUJARAT"
Jamshedpur ,JHARKHAND,"Jamshedpur , JHARKHAND"
Jamuria ,WEST BENGAL,"Jamuria , WEST BENGAL"
Jaunpur ,UTTAR PRADESH,"Jaunpur , UTTAR PRADESH"
Jehanabad ,BIHAR,"Jehanabad , BIHAR"
Jetpur Navagadh ,GUJARAT,"Jetpur Navagadh , GUJARAT"
Jhansi ,UTTAR PRADESH,"Jhansi , UTTAR PRADESH"
Jhunjhunun ,RAJASTHAN,"Jhunjhunun , RAJASTHAN"
Jind ,HARYANA,"Jind , HARYANA"
Jodhpur ,RAJASTHAN,"Jodhpur , RAJASTHAN"
Junagadh ,GUJARAT,"Junagadh , GUJARAT"
Kadapa ,ANDHRA PRADESH,"Kadapa , ANDHRA PRADESH"
Kaithal ,HARYANA,"Kaithal , HARYANA"
Kakinada ,ANDHRA PRADESH,"Kakinada , ANDHRA PRADESH"
Kalol ,GUJARAT,"Kalol , GUJARAT"
Kalyani ,WEST BENGAL,"Kalyani , WEST BENGAL"
Kamarhati ,WEST BENGAL,"Kamarhati , WEST BENGAL"
Kancheepuram ,TAMIL NADU,"Kancheepuram , TAMIL NADU"
Kanchrapara ,WEST BENGAL,"Kanchrapara , WEST BENGAL"
Kanpur ,UTTAR PRADESH,"Kanpur , UTTAR PRADESH"
Kanpur City,UTTAR PRADESH,"Kanpur City, UTTAR PRADESH"
Karaikkudi ,TAMIL NADU,"Karaikkudi , TAMIL NADU"
Karawal Nagar ,NCT OF DELHI,"Karawal Nagar , NCT OF DELHI"
Karimnagar ,ANDHRA PRADESH,"Karimnagar , ANDHRA PRADESH"
Karnal ,HARYANA,"Karnal , HARYANA"
Kasganj ,UTTAR PRADESH,"Kasganj , UTTAR PRADESH"
Kashipur ,UTTARAKHAND,"Kashipur , UTTARAKHAND"
Katihar ,BIHAR,"Katihar , BIHAR"
Khammam ,ANDHRA PRADESH,"Khammam , ANDHRA PRADESH"
Khandwa ,MADHYA PRADESH,"Khandwa , MADHYA PRADESH"
Khanna ,PUNJAB,"Khanna , PUNJAB"
Kharagpur ,WEST BENGAL,"Kharagpur , WEST BENGAL"
Khardaha ,WEST BENGAL,"Khardaha , WEST BENGAL"
Khargone ,MADHYA PRADESH,"Khargone , MADHYA PRADESH"
Khora ,UTTAR PRADESH,"Khora , UTTAR PRADESH"
Khurja ,UTTAR PRADESH,"Khurja , UTTAR PRADESH"
Kirari Suleman Nagar ,NCT OF DELHI,"Kirari Suleman Nagar , NCT OF DELHI"
Kishanganj ,BIHAR,"Kishanganj , BIHAR"
Kishangarh ,RAJASTHAN,"Kishangarh , RAJASTHAN"
Kochi ,KERALA,"Kochi , KERALA"
Kolar ,KARNATAKA,"Kolar , KARNATAKA"
Kolhapur ,MAHARASHTRA,"Kolhapur , MAHARASHTRA"
Kolkata ,WEST BENGAL,"Kolkata , WEST BENGAL"
Kollam ,KERALA,"Kollam , KERALA"
Korba ,CHHATTISGARH,"Korba , CHHATTISGARH"
Kota ,RAJASTHAN,"Kota , RAJASTHAN"
Kozhikode ,KERALA,"Kozhikode , KERALA"
Krishnanagar ,WEST BENGAL,"Krishnanagar , WEST BENGAL"
Kulti ,WEST BENGAL,"Kulti , WEST BENGAL"
Kumbakonam ,TAMIL NADU,"Kumbakonam , TAMIL NADU"
Kurichi ,TAMIL NADU,"Kurichi , TAMIL NADU"
Kurnool ,ANDHRA PRADESH,"Kurnool , ANDHRA PRADESH"
Lakhimpur ,UTTAR PRADESH,"Lakhimpur , UTTAR PRADESH"
Lalitpur ,UTTAR PRADESH,"Lalitpur , UTTAR PRADESH"
Latur ,MAHARASHTRA,"Latur , MAHARASHTRA"
Loni ,UTTAR PRADESH,"Loni , UTTAR PRADESH"
Lucknow ,UTTAR PRADESH,"Lucknow , UTTAR PRADESH"
Ludhiana ,PUNJAB,"Ludhiana , PUNJAB"
Machilipatnam ,ANDHRA PRADESH,"Machilipatnam , ANDHRA PRADESH"
Madanapalle ,ANDHRA PRADESH,"Madanapalle , ANDHRA PRADESH"
Madavaram ,TAMIL NADU,"Madavaram , TAMIL NADU"
Madhyamgram ,WEST BENGAL,"Madhyamgram , WEST BENGAL"
Madurai ,TAMIL NADU,"Madurai , TAMIL NADU"
Mahbubnagar ,ANDHRA PRADESH,"Mahbubnagar , ANDHRA PRADESH"
Mahesana ,GUJARAT,"Mahesana , GUJARAT"
Maheshtala ,WEST BENGAL,"Maheshtala , WEST BENGAL"
Mainpuri ,UTTAR PRADESH,"Mainpuri , UTTAR PRADESH"
Malegaon ,MAHARASHTRA,"Malegaon , MAHARASHTRA"
Malerkotla ,PUNJAB,"Malerkotla , PUNJAB"
Mandoli ,NCT OF DELHI,"Mandoli , NCT OF DELHI"
Mandsaur ,MADHYA PRADESH,"Mandsaur , MADHYA PRADESH"
Mandya ,KARNATAKA,"Mandya , KARNATAKA"
Mangalore ,KARNATAKA,"Mangalore , KARNATAKA"
Mango ,JHARKHAND,"Mango , JHARKHAND"
Mathura ,UTTAR PRADESH,"Mathura , UTTAR PRADESH"
Maunath Bhanjan ,UTTAR PRADESH,"Maunath Bhanjan , UTTAR PRADESH"
Medinipur ,WEST BENGAL,"Medinipur , WEST BENGAL"
Meerut ,UTTAR PRADESH,"Meerut , UTTAR PRADESH"
Mira Bhayander ,MAHARASHTRA,"Mira Bhayander , MAHARASHTRA"
Miryalaguda ,ANDHRA PRADESH,"Miryalaguda , ANDHRA PRADESH"
Mirzapur-cum-Vindhyachal ,UTTAR PRADESH,"Mirzapur-cum-Vindhyachal , UTTAR PRADESH"
Modinagar ,UTTAR PRADESH,"Modinagar , UTTAR PRADESH"
Moga ,PUNJAB,"Moga , PUNJAB"
Moradabad ,UTTAR PRADESH,"Moradabad , UTTAR PRADESH"
Morena ,MADHYA PRADESH,"Morena , MADHYA PRADESH"
Morvi ,GUJARAT,"Morvi , GUJARAT"
Motihari ,BIHAR,"Motihari , BIHAR"
Mughalsarai ,UTTAR PRADESH,"Mughalsarai , UTTAR PRADESH"
Muktsar ,PUNJAB,"Muktsar , PUNJAB"
Munger ,BIHAR,"Munger , BIHAR"
Murwara ,MADHYA PRADESH,"Murwara , MADHYA PRADESH"
Mustafabad ,NCT OF DELHI,"Mustafabad , NCT OF DELHI"
Muzaffarnagar ,UTTAR PRADESH,"Muzaffarnagar , UTTAR PRADESH"
Muzaffarpur ,BIHAR,"Muzaffarpur , BIHAR"
Mysore ,KARNATAKA,"Mysore , KARNATAKA"
Nabadwip ,WEST BENGAL,"Nabadwip , WEST BENGAL"
Nadiad ,GUJARAT,"Nadiad , GUJARAT"
Nagaon ,ASSAM,"Nagaon , ASSAM"
Nagapattinam ,TAMIL NADU,"Nagapattinam , TAMIL NADU"
Nagaur ,RAJASTHAN,"Nagaur , RAJASTHAN"
Nagda ,MADHYA PRADESH,"Nagda , MADHYA PRADESH"
Nagercoil ,TAMIL NADU,"Nagercoil , TAMIL NADU"
Nagpur ,MAHARASHTRA,"Nagpur , MAHARASHTRA"
Naihati ,WEST BENGAL,"Naihati , WEST BENGAL"
Nalgonda ,ANDHRA PRADESH,"Nalgonda , ANDHRA PRADESH"
Nanded Waghala ,MAHARASHTRA,"Nanded Waghala , MAHARASHTRA"
Nandurbar ,MAHARASHTRA,"Nandurbar , MAHARASHTRA"
Nandyal ,ANDHRA PRADESH,"Nandyal , ANDHRA PRADESH"
Nangloi Jat ,NCT OF DELHI,"Nangloi Jat , NCT OF DELHI"
Narasaraopet ,ANDHRA PRADESH,"Narasaraopet , ANDHRA PRADESH"
Nashik ,MAHARASHTRA,"Nashik , MAHARASHTRA"
Navi Mumbai ,MAHARASHTRA,"Navi Mumbai , MAHARASHTRA"
Navi Mumbai Panvel Raigarh ,MAHARASHTRA,"Navi Mumbai Panvel Raigarh , MAHARASHTRA"
Navsari ,GUJARAT,"Navsari , GUJARAT"
Neemuch ,MADHYA PRADESH,"Neemuch , MADHYA PRADESH"
Nellore ,ANDHRA PRADESH,"Nellore , ANDHRA PRADESH"
New Delhi ,NCT OF DELHI,"New Delhi , NCT OF DELHI"
Neyveli ,TAMIL NADU,"Neyveli , TAMIL NADU"
Nizamabad ,ANDHRA PRADESH,"Nizamabad , ANDHRA PRADESH"
Noida ,UTTAR PRADESH,"Noida , UTTAR PRADESH"
North Barrackpur ,WEST BENGAL,"North Barrackpur , WEST BENGAL"
North Dum Dum ,WEST BENGAL,"North Dum Dum , WEST BENGAL"
Ongole ,ANDHRA PRADESH,"Ongole , ANDHRA PRADESH"
Orai ,UTTAR PRADESH,"Orai , UTTAR PRADESH"
Osmanabad ,MAHARASHTRA,"Osmanabad , MAHARASHTRA"
Ozhukarai ,PUDUCHERRY,"Ozhukarai , PUDUCHERRY"
Palakkad ,KERALA,"Palakkad , KERALA"
Palanpur ,GUJARAT,"Palanpur , GUJARAT"
Pali ,RAJASTHAN,"Pali , RAJASTHAN"
Pallavaram ,TAMIL NADU,"Pallavaram , TAMIL NADU"
Palwal ,HARYANA,"Palwal , HARYANA"
Panchkula ,HARYANA,"Panchkula , HARYANA"
Panihati ,WEST BENGAL,"Panihati , WEST BENGAL"
Panipat ,HARYANA,"Panipat , HARYANA"
Panvel ,MAHARASHTRA,"Panvel , MAHARASHTRA"
Parbhani ,MAHARASHTRA,"Parbhani , MAHARASHTRA"
Patan ,GUJARAT,"Patan , GUJARAT"
Pathankot ,PUNJAB,"Pathankot , PUNJAB"
Patiala ,PUNJAB,"Patiala , PUNJAB"
Patna ,BIHAR,"Patna , BIHAR"
Pilibhit ,UTTAR PRADESH,"Pilibhit , UTTAR PRADESH"
Pimpri Chinchwad ,MAHARASHTRA,"Pimpri Chinchwad , MAHARASHTRA"
Pithampur ,MADHYA PRADESH,"Pithampur , MADHYA PRADESH"
Porbandar ,GUJARAT,"Porbandar , GUJARAT"
Port Blair ,ANDAMAN & NICOBAR ISLANDS,"Port Blair , ANDAMAN & NICOBAR ISLANDS"
Proddatur ,ANDHRA PRADESH,"Proddatur , ANDHRA PRADESH"
Puducherry ,PUDUCHERRY,"Puducherry , PUDUCHERRY"
Pudukkottai ,TAMIL NADU,"Pudukkottai , TAMIL NADU"
Pune ,MAHARASHTRA,"Pune , MAHARASHTRA"
Puri ,ORISSA,"Puri , ORISSA"
Purnia ,BIHAR,"Purnia , BIHAR"
Puruliya ,WEST BENGAL,"Puruliya , WEST BENGAL"
Rae Bareli ,UTTAR PRADESH,"Rae Bareli , UTTAR PRADESH"
Raichur ,KARNATAKA,"Raichur , KARNATAKA"
Raiganj ,WEST BENGAL,"Raiganj , WEST BENGAL"
Raigarh ,CHHATTISGARH,"Raigarh , CHHATTISGARH"
Raipur ,CHHATTISGARH,"Raipur , CHHATTISGARH"
Rajahmundry ,ANDHRA PRADESH,"Rajahmundry , ANDHRA PRADESH"
Rajapalayam ,TAMIL NADU,"Rajapalayam , TAMIL NADU"
Rajarhat Gopalpur ,WEST BENGAL,"Rajarhat Gopalpur , WEST BENGAL"
Rajkot ,GUJARAT,"Rajkot , GUJARAT"
Rajnandgaon ,CHHATTISGARH,"Rajnandgaon , CHHATTISGARH"
Rajpur Sonarpur ,WEST BENGAL,"Rajpur Sonarpur , WEST BENGAL"
Ramagundam ,ANDHRA PRADESH,"Ramagundam , ANDHRA PRADESH"
Rampur ,UTTAR PRADESH,"Rampur , UTTAR PRADESH"
Ranchi ,JHARKHAND,"Ranchi , JHARKHAND"
Ranibennur ,KARNATAKA,"Ranibennur , KARNATAKA"
Raniganj ,WEST BENGAL,"Raniganj , WEST BENGAL"
Ratlam ,MADHYA PRADESH,"Ratlam , MADHYA PRADESH"
Raurkela Industrial Township ,ORISSA,"Raurkela Industrial Township , ORISSA"
Raurkela Town ,ORISSA,"Raurkela Town , ORISSA"
Rewa ,MADHYA PRADESH,"Rewa , MADHYA PRADESH"
Rewari ,HARYANA,"Rewari , HARYANA"
Rishra ,WEST BENGAL,"Rishra , WEST BENGAL"
Robertson Pet ,KARNATAKA,"Robertson Pet , KARNATAKA"
Rohtak ,HARYANA,"Rohtak , HARYANA"
